method,native_metric,teacher_reference,clean_llama,same_lineage_ba,same_lineage_bb,same_lineage_bc,clean_qwen,cross_lineage_ba,cross_lineage_bb,ba_trajectory_endpoint,exploratory_qwen_xba,exploratory_qwen_xbb
PN-FP,detected/1024,956,1,98,72,110,43,84,67,99,,
EverTracer,member-oriented ROC-AUC,1.0,0.4417,0.4987,0.4757,0.59,N/A_CROSS_TOKENIZER,N/A_CROSS_TOKENIZER,N/A_CROSS_TOKENIZER,0.5016,0.523,0.5227
CTCC,trigger activations/95,95,0,0,0,0,0,0,0,0,,
iSeal,registered success/200,179,0,0,0,0,N/A_CROSS_ARCHITECTURE,N/A_CROSS_ARCHITECTURE,N/A_CROSS_ARCHITECTURE,0,,
SCW,p-value,0.0,0.9199569225311279,0.8440861701965332,0.9529914855957031,0.8819239735603333,0.7446491718292236,0.9158855080604553,0.9841499328613281,0.895175039768219,,
LLMPrint,primary paper-style bit accuracy,1.0,1.0,0.82,0.785,0.86,0.68,0.68,0.695,,,
REEF,centered linear CKA,1.0,1.0,0.9542220066305829,0.9672861269249347,0.9859362800187441,0.4546738923165847,0.4712346890040632,0.47347651724262,,,
HuRef,ICS,99.99999237060547,99.99999237060547,99.99898529052734,99.99873352050781,99.99800872802734,-8.356179237365723,-8.41477108001709,-8.33336067199707,,,
AWM,official mean Wq/Wk unbiased linear CKA,1.0,1.0,0.9999974135841643,0.9999961065394538,0.9999972975679806,0.0017953364917795106,0.0018811310743071122,0.0018529736315550899,,,
ZeroPrint,rescaled Pearson correlation,1.0,1.0,0.8399372696876526,0.9170220196247101,0.927045077085495,0.6793505996465683,0.70185287296772,0.7015291452407837,,,
