method_or_shared_run,condition,arc_challenge_acc_norm,truthfulqa_mc2,availability,precision,protocol_status,raw_results_present
PN-FP,Bb,0.4906143344709898,0.48613790979493243,MEASURED,FULL_RECORDED_PRECISION,NON_UNIFIED_PROTOCOL,False
PN-FP,Ba historical,0.478668942,0.463479842,MEASURED,LIMITED_PRECISION,NON_UNIFIED_PROTOCOL,False
PN-FP,Bc,0.4786689419795222,0.46854952594042604,MEASURED,FULL_RECORDED_PRECISION,BC_FROZEN_CHAT_BF16_PROTOCOL,False
PN-FP,XBa,0.4948805460750853,0.5019135695511419,MEASURED,FULL_RECORDED_PRECISION,CROSS_LINEAGE_FROZEN_CHAT_BF16_PROTOCOL,True
PN-FP,XBb,0.4684300341296928,0.4917632470586235,MEASURED,FULL_RECORDED_PRECISION,CROSS_LINEAGE_FROZEN_CHAT_BF16_PROTOCOL,True
EverTracer,Bb,0.49829351535836175,0.47559656098277925,MEASURED,FULL_RECORDED_PRECISION,NON_UNIFIED_PROTOCOL,
EverTracer,Ba,0.5051194539249146,0.493714619952569,MEASURED,FULL_RECORDED_PRECISION,NON_UNIFIED_PROTOCOL,True
EverTracer,Clean Llama (EverTracer historical protocol),0.4462457337883959,0.5056865097575013,MEASURED,FULL_RECORDED_PRECISION,NON_UNIFIED_PROTOCOL,True
EverTracer,Teacher,0.42150170648464164,0.5147979684440541,MEASURED,FULL_RECORDED_PRECISION,NON_UNIFIED_PROTOCOL,True
EverTracer,Bc,0.4974402730375427,0.5007002980392387,MEASURED,FULL_RECORDED_PRECISION,BC_FROZEN_CHAT_BF16_PROTOCOL,False
EverTracer,XBa,0.5162116040955631,0.4509746503062132,MEASURED,FULL_RECORDED_PRECISION,CROSS_LINEAGE_FROZEN_CHAT_BF16_PROTOCOL,True
EverTracer,XBb,0.46075085324232085,0.46907694275763584,MEASURED,FULL_RECORDED_PRECISION,CROSS_LINEAGE_FROZEN_CHAT_BF16_PROTOCOL,True
CTCC,Bb2,0.48976109215017066,0.44850679576156427,MEASURED,FULL_RECORDED_PRECISION,NON_UNIFIED_PROTOCOL,False
CTCC,Ba historical,0.48378839590443684,0.4506136480297226,MEASURED,FULL_RECORDED_PRECISION,NON_UNIFIED_PROTOCOL,False
CTCC,Bc,0.4641638225255973,0.4680824775764402,MEASURED,FULL_RECORDED_PRECISION,BC_FROZEN_CHAT_BF16_PROTOCOL,False
CTCC,XBa,0.4684300341296928,0.4480919802572382,MEASURED,FULL_RECORDED_PRECISION,CROSS_LINEAGE_FROZEN_CHAT_BF16_PROTOCOL,True
CTCC,XBb2,0.439419795221843,0.45344106594056727,MEASURED,FULL_RECORDED_PRECISION,CROSS_LINEAGE_FROZEN_CHAT_BF16_PROTOCOL,True
iSeal,Bb,0.48976109215017066,0.46152410492343565,MEASURED,FULL_RECORDED_PRECISION,NON_UNIFIED_PROTOCOL,False
iSeal,Ba historical,0.4812286689419795,0.4498178809933709,MEASURED,FULL_RECORDED_PRECISION,NON_UNIFIED_PROTOCOL,False
iSeal,Bc,0.44368600682593856,0.456499231887167,MEASURED,FULL_RECORDED_PRECISION,BC_FROZEN_CHAT_BF16_PROTOCOL,False
iSeal,XBa,0.4948805460750853,0.4298307502074534,MEASURED,FULL_RECORDED_PRECISION,CROSS_LINEAGE_FROZEN_CHAT_BF16_PROTOCOL,True
iSeal,XBb,0.49402730375426623,0.46736380064984684,MEASURED,FULL_RECORDED_PRECISION,CROSS_LINEAGE_FROZEN_CHAT_BF16_PROTOCOL,True
SCW,Bb,0.5042662116040956,0.4861866050235854,MEASURED,FULL_RECORDED_PRECISION,NON_UNIFIED_PROTOCOL,False
SCW,Ba historical,0.48976109215017066,0.4747341900819149,MEASURED,FULL_RECORDED_PRECISION,NON_UNIFIED_PROTOCOL,False
SCW,Bc,0.4948805460750853,0.49111074033404445,MEASURED,FULL_RECORDED_PRECISION,BC_FROZEN_CHAT_BF16_PROTOCOL,False
SCW,XBa,0.4906143344709898,0.4915920843760251,MEASURED,FULL_RECORDED_PRECISION,CROSS_LINEAGE_FROZEN_CHAT_BF16_PROTOCOL,True
SCW,XBb,0.4974402730375427,0.48478352312750794,MEASURED,FULL_RECORDED_PRECISION,CROSS_LINEAGE_FROZEN_CHAT_BF16_PROTOCOL,True
Passive-5 Shared,Ba,0.4974402730375427,0.4755413056783935,MEASURED,FULL_RECORDED_PRECISION,NON_UNIFIED_PROTOCOL,True
Passive-5 Shared,Bb3,0.4906143344709898,0.45441620416416634,MEASURED,FULL_RECORDED_PRECISION,NON_UNIFIED_PROTOCOL,True
Passive-5 Shared,Bc,0.5110921501706485,0.50010974239234,MEASURED,FULL_RECORDED_PRECISION,BC_FROZEN_CHAT_BF16_PROTOCOL,False
Clean Llama,Shared Bb3 baseline context,0.44880546075085326,0.505450760153828,MEASURED,FULL_RECORDED_PRECISION,NON_UNIFIED_PROTOCOL_ACROSS_HISTORICAL_BASE_RUNS,True
Clean Qwen,Clean Qwen,0.4402730375426621,0.5712170418936038,MEASURED,FULL_RECORDED_PRECISION,CROSS_LINEAGE_FROZEN_CHAT_BF16_PROTOCOL,True
Passive-5 Shared,XBa,0.514505119453925,0.4913761025929856,MEASURED,FULL_RECORDED_PRECISION,CROSS_LINEAGE_FROZEN_CHAT_BF16_PROTOCOL,True
Passive-5 Shared,XBb,0.4948805460750853,0.5121567463246797,MEASURED,FULL_RECORDED_PRECISION,CROSS_LINEAGE_FROZEN_CHAT_BF16_PROTOCOL,True
